sample_index,time_s,code_signed,voltage_V
0,0.0,-85,-0.000425
1,0.001,-88,-0.00044
2,0.002,-90,-0.00045
3,0.003,-93,-0.000465
4,0.004,-95,-0.000475
5,0.005,-97,-0.000485
6,0.006,-98,-0.00049
7,0.007,-99,-0.000495
8,0.008,-100,-0.0005
9,0.009,-102,-0.00051
10,0.01,-104,-0.00052
11,0.011,-106,-0.00053
12,0.012,-107,-0.000535
13,0.013,-110,-0.00055
14,0.014,-112,-0.00056
15,0.015,-114,-0.00057
16,0.016,-116,-0.00058
17,0.017,-118,-0.00059
18,0.018,-119,-0.000595
19,0.019,-121,-0.000605
20,0.02,-122,-0.00061
21,0.021,-124,-0.00062
22,0.022,-125,-0.000625
23,0.023,-126,-0.00063
24,0.024,-127,-0.000635
25,0.025,-129,-0.000645
26,0.026,-130,-0.00065
27,0.027,-131,-0.000655
28,0.028,-132,-0.00066
29,0.029,-135,-0.000675
30,0.03,-137,-0.000685
31,0.031,-139,-0.000695
32,0.032,-141,-0.000705
33,0.033,-141,-0.000705
34,0.034,-141,-0.000705
35,0.035,-141,-0.000705
36,0.036,-141,-0.000705
37,0.037,-142,-0.00071
38,0.038,-143,-0.000715
39,0.039,-144,-0.00072
40,0.04,-144,-0.00072
41,0.041,-146,-0.00073
42,0.042,-147,-0.000735
43,0.043,-149,-0.000745
44,0.044,-150,-0.00075
45,0.045,-152,-0.00076
46,0.046,-154,-0.00077
47,0.047,-156,-0.00078
48,0.048,-157,-0.000785
49,0.049,-159,-0.000795
50,0.05,-161,-0.000805
51,0.051,-163,-0.000815
52,0.052,-164,-0.00082
53,0.053,-165,-0.000825
54,0.054,-165,-0.000825
55,0.055,-165,-0.000825
56,0.056,-165,-0.000825
57,0.057,-167,-0.000835
58,0.058,-169,-0.000845
59,0.059,-171,-0.000855
60,0.06,-172,-0.00086
61,0.061,-173,-0.000865
62,0.062,-174,-0.00087
63,0.063,-175,-0.000875
64,0.064,-176,-0.00088
65,0.065,-177,-0.000885
66,0.066,-177,-0.000885
67,0.067,-177,-0.000885
68,0.068,-177,-0.000885
69,0.069,-178,-0.00089
70,0.07,-179,-0.000895
71,0.071,-180,-0.0009
72,0.072,-181,-0.000905
73,0.073,-182,-0.00091
74,0.074,-183,-0.000915
75,0.075,-184,-0.00092
76,0.076,-184,-0.00092
77,0.077,-184,-0.00092
78,0.078,-184,-0.00092
79,0.079,-184,-0.00092
80,0.08,-183,-0.000915
81,0.081,-182,-0.00091
82,0.082,-180,-0.0009
83,0.083,-178,-0.00089
84,0.084,-176,-0.00088
85,0.085,-175,-0.000875
86,0.086,-174,-0.00087
87,0.087,-173,-0.000865
88,0.088,-171,-0.000855
89,0.089,-169,-0.000845
90,0.09,-166,-0.00083
91,0.091,-164,-0.00082
92,0.092,-161,-0.000805
93,0.093,-161,-0.000805
94,0.094,-160,-0.0008
95,0.095,-160,-0.0008
96,0.096,-159,-0.000795
97,0.097,-159,-0.000795
98,0.098,-158,-0.00079
99,0.099,-157,-0.000785
100,0.1,-156,-0.00078
101,0.101,-156,-0.00078
102,0.102,-156,-0.00078
103,0.103,-156,-0.00078
104,0.104,-156,-0.00078
105,0.105,-155,-0.000775
106,0.106,-153,-0.000765
107,0.107,-151,-0.000755
108,0.108,-149,-0.000745
109,0.109,-147,-0.000735
110,0.11,-145,-0.000725
111,0.111,-143,-0.000715
112,0.112,-141,-0.000705
113,0.113,-140,-0.0007
114,0.114,-138,-0.00069
115,0.115,-136,-0.00068
116,0.116,-134,-0.00067
117,0.117,-132,-0.00066
118,0.118,-129,-0.000645
119,0.119,-126,-0.00063
120,0.12,-123,-0.000615
121,0.121,-121,-0.000605
122,0.122,-119,-0.000595
123,0.123,-117,-0.000585
124,0.124,-115,-0.000575
125,0.125,-112,-0.00056
126,0.126,-109,-0.000545
127,0.127,-106,-0.00053
128,0.128,-102,-0.00051
129,0.129,-99,-0.000495
130,0.13,-96,-0.00048
131,0.131,-93,-0.000465
132,0.132,-90,-0.00045
133,0.133,-87,-0.000435
134,0.134,-84,-0.00042
135,0.135,-81,-0.000405
136,0.136,-78,-0.00039
137,0.137,-75,-0.000375
138,0.138,-72,-0.00036
139,0.139,-69,-0.000345
140,0.14,-65,-0.000325
141,0.141,-63,-0.000315
142,0.142,-61,-0.000305
143,0.143,-59,-0.000295
144,0.144,-57,-0.000285
145,0.145,-57,-0.000285
146,0.146,-57,-0.000285
147,0.147,-57,-0.000285
148,0.148,-56,-0.00028
149,0.149,-55,-0.000275
150,0.15,-53,-0.000265
151,0.151,-51,-0.000255
152,0.152,-49,-0.000245
153,0.153,-48,-0.00024
154,0.154,-46,-0.00023
155,0.155,-45,-0.000225
156,0.156,-43,-0.000215
157,0.157,-42,-0.00021
158,0.158,-41,-0.000205
159,0.159,-40,-0.0002
160,0.16,-38,-0.00019
161,0.161,-37,-0.000185
162,0.162,-35,-0.000175
163,0.163,-33,-0.000165
164,0.164,-31,-0.000155
165,0.165,-30,-0.00015
166,0.166,-28,-0.00014
167,0.167,-27,-0.000135
168,0.168,-25,-0.000125
169,0.169,-24,-0.00012
170,0.17,-23,-0.000115
171,0.171,-22,-0.00011
172,0.172,-21,-0.000105
173,0.173,-20,-0.0001
174,0.174,-19,-9.5e-05
175,0.175,-18,-9e-05
176,0.176,-16,-8e-05
177,0.177,-16,-8e-05
178,0.178,-15,-7.5e-05
179,0.179,-15,-7.5e-05
180,0.18,-14,-7e-05
181,0.181,-14,-7e-05
182,0.182,-14,-7e-05
183,0.183,-14,-7e-05
184,0.184,-13,-6.5e-05
185,0.185,-13,-6.5e-05
186,0.186,-13,-6.5e-05
187,0.187,-13,-6.5e-05
188,0.188,-13,-6.5e-05
189,0.189,-12,-6e-05
190,0.19,-11,-5.5e-05
191,0.191,-10,-5e-05
192,0.192,-9,-4.5e-05
