sample_index,time_s,code_signed,voltage_V
0,0.0,191,0.000955
1,0.001,186,0.00093
2,0.002,181,0.000905
3,0.003,176,0.00088
4,0.004,174,0.00087
5,0.005,171,0.000855
6,0.006,169,0.000845
7,0.007,167,0.000835
8,0.008,165,0.000825
9,0.009,165,0.000825
10,0.01,165,0.000825
11,0.011,165,0.000825
12,0.012,168,0.00084
13,0.013,171,0.000855
14,0.014,174,0.00087
15,0.015,175,0.000875
16,0.016,175,0.000875
17,0.017,175,0.000875
18,0.018,173,0.000865
19,0.019,172,0.00086
20,0.02,169,0.000845
21,0.021,166,0.00083
22,0.022,162,0.00081
23,0.023,160,0.0008
24,0.024,158,0.00079
25,0.025,156,0.00078
26,0.026,153,0.000765
27,0.027,151,0.000755
28,0.028,148,0.00074
29,0.029,146,0.00073
30,0.03,143,0.000715
31,0.031,140,0.0007
32,0.032,138,0.00069
33,0.033,135,0.000675
34,0.034,130,0.00065
35,0.035,125,0.000625
36,0.036,120,0.0006
37,0.037,117,0.000585
38,0.038,115,0.000575
39,0.039,113,0.000565
40,0.04,111,0.000555
41,0.041,110,0.00055
42,0.042,109,0.000545
43,0.043,109,0.000545
44,0.044,110,0.00055
45,0.045,110,0.00055
46,0.046,111,0.000555
47,0.047,112,0.00056
48,0.048,114,0.00057
49,0.049,116,0.00058
50,0.05,118,0.00059
51,0.051,121,0.000605
52,0.052,124,0.00062
53,0.053,127,0.000635
54,0.054,130,0.00065
55,0.055,132,0.00066
56,0.056,133,0.000665
57,0.057,133,0.000665
58,0.058,132,0.00066
59,0.059,130,0.00065
60,0.06,127,0.000635
61,0.061,124,0.00062
62,0.062,120,0.0006
63,0.063,116,0.00058
64,0.064,111,0.000555
65,0.065,106,0.00053
66,0.066,101,0.000505
67,0.067,96,0.00048
68,0.068,92,0.00046
69,0.069,87,0.000435
70,0.07,82,0.00041
71,0.071,76,0.00038
72,0.072,71,0.000355
73,0.073,66,0.00033
74,0.074,62,0.00031
75,0.075,58,0.00029
76,0.076,54,0.00027
77,0.077,51,0.000255
78,0.078,47,0.000235
79,0.079,43,0.000215
80,0.08,40,0.0002
81,0.081,37,0.000185
82,0.082,35,0.000175
83,0.083,32,0.00016
84,0.084,32,0.00016
85,0.085,33,0.000165
86,0.086,34,0.00017
87,0.087,36,0.00018
88,0.088,38,0.00019
89,0.089,40,0.0002
90,0.09,41,0.000205
91,0.091,42,0.00021
92,0.092,44,0.00022
93,0.093,47,0.000235
94,0.094,50,0.00025
95,0.095,53,0.000265
96,0.096,54,0.00027
97,0.097,55,0.000275
98,0.098,57,0.000285
99,0.099,58,0.00029
100,0.1,59,0.000295
101,0.101,57,0.000285
102,0.102,56,0.00028
103,0.103,54,0.00027
104,0.104,52,0.00026
105,0.105,50,0.00025
106,0.106,48,0.00024
107,0.107,46,0.00023
108,0.108,43,0.000215
109,0.109,41,0.000205
110,0.11,39,0.000195
111,0.111,36,0.00018
112,0.112,35,0.000175
113,0.113,34,0.00017
114,0.114,34,0.00017
115,0.115,33,0.000165
116,0.116,33,0.000165
117,0.117,33,0.000165
118,0.118,34,0.00017
119,0.119,35,0.000175
120,0.12,35,0.000175
121,0.121,33,0.000165
122,0.122,32,0.00016
123,0.123,30,0.00015
124,0.124,28,0.00014
125,0.125,26,0.00013
126,0.126,24,0.00012
127,0.127,22,0.00011
128,0.128,20,0.0001
129,0.129,19,9.5e-05
130,0.13,18,9e-05
131,0.131,17,8.5e-05
132,0.132,15,7.5e-05
133,0.133,12,6e-05
134,0.134,9,4.5e-05
135,0.135,5,2.5e-05
