sample_index,time_s,code_signed,voltage_V
0,0.0,70,0.00035
1,0.001,69,0.000345
2,0.002,69,0.000345
3,0.003,68,0.00034
4,0.004,68,0.00034
5,0.005,70,0.00035
6,0.006,72,0.00036
7,0.007,74,0.00037
8,0.008,76,0.00038
9,0.009,76,0.00038
10,0.01,76,0.00038
11,0.011,76,0.00038
12,0.012,77,0.000385
13,0.013,78,0.00039
14,0.014,79,0.000395
15,0.015,80,0.0004
16,0.016,81,0.000405
17,0.017,80,0.0004
18,0.018,80,0.0004
19,0.019,80,0.0004
20,0.02,80,0.0004
21,0.021,81,0.000405
22,0.022,82,0.00041
23,0.023,83,0.000415
24,0.024,84,0.00042
25,0.025,83,0.000415
26,0.026,83,0.000415
27,0.027,82,0.00041
28,0.028,82,0.00041
29,0.029,83,0.000415
30,0.03,85,0.000425
31,0.031,86,0.00043
32,0.032,88,0.00044
33,0.033,88,0.00044
34,0.034,89,0.000445
35,0.035,89,0.000445
36,0.036,90,0.00045
37,0.037,90,0.00045
38,0.038,91,0.000455
39,0.039,92,0.00046
40,0.04,93,0.000465
41,0.041,93,0.000465
42,0.042,94,0.00047
43,0.043,95,0.000475
44,0.044,96,0.00048
45,0.045,97,0.000485
46,0.046,98,0.00049
47,0.047,99,0.000495
48,0.048,101,0.000505
49,0.049,101,0.000505
50,0.05,102,0.00051
51,0.051,102,0.00051
52,0.052,103,0.000515
53,0.053,104,0.00052
54,0.054,105,0.000525
55,0.055,106,0.00053
56,0.056,107,0.000535
57,0.057,108,0.00054
58,0.058,110,0.00055
59,0.059,112,0.00056
60,0.06,114,0.00057
61,0.061,113,0.000565
62,0.062,112,0.00056
63,0.063,111,0.000555
64,0.064,110,0.00055
65,0.065,110,0.00055
66,0.066,111,0.000555
67,0.067,112,0.00056
68,0.068,113,0.000565
69,0.069,112,0.00056
70,0.07,112,0.00056
71,0.071,112,0.00056
72,0.072,112,0.00056
73,0.073,112,0.00056
74,0.074,112,0.00056
75,0.075,112,0.00056
76,0.076,112,0.00056
77,0.077,110,0.00055
78,0.078,109,0.000545
79,0.079,107,0.000535
80,0.08,106,0.00053
81,0.081,105,0.000525
82,0.082,105,0.000525
83,0.083,105,0.000525
84,0.084,105,0.000525
85,0.085,105,0.000525
86,0.086,105,0.000525
87,0.087,105,0.000525
88,0.088,105,0.000525
89,0.089,104,0.00052
90,0.09,104,0.00052
91,0.091,103,0.000515
92,0.092,103,0.000515
93,0.093,101,0.000505
94,0.094,99,0.000495
95,0.095,97,0.000485
96,0.096,95,0.000475
97,0.097,95,0.000475
98,0.098,95,0.000475
99,0.099,95,0.000475
100,0.1,96,0.00048
101,0.101,95,0.000475
102,0.102,94,0.00047
103,0.103,93,0.000465
104,0.104,93,0.000465
105,0.105,92,0.00046
106,0.106,92,0.00046
107,0.107,92,0.00046
108,0.108,92,0.00046
109,0.109,91,0.000455
110,0.11,91,0.000455
111,0.111,91,0.000455
112,0.112,91,0.000455
113,0.113,90,0.00045
114,0.114,89,0.000445
115,0.115,88,0.00044
116,0.116,87,0.000435
117,0.117,86,0.00043
118,0.118,85,0.000425
119,0.119,84,0.00042
120,0.12,83,0.000415
121,0.121,84,0.00042
122,0.122,85,0.000425
123,0.123,86,0.00043
124,0.124,87,0.000435
125,0.125,86,0.00043
126,0.126,85,0.000425
127,0.127,84,0.00042
128,0.128,84,0.00042
129,0.129,83,0.000415
130,0.13,83,0.000415
131,0.131,82,0.00041
132,0.132,82,0.00041
133,0.133,80,0.0004
134,0.134,79,0.000395
135,0.135,77,0.000385
136,0.136,76,0.00038
137,0.137,76,0.00038
138,0.138,77,0.000385
139,0.139,78,0.00039
140,0.14,79,0.000395
141,0.141,78,0.00039
142,0.142,78,0.00039
143,0.143,78,0.00039
144,0.144,78,0.00039
145,0.145,77,0.000385
146,0.146,76,0.00038
147,0.147,75,0.000375
148,0.148,75,0.000375
149,0.149,75,0.000375
150,0.15,75,0.000375
151,0.151,75,0.000375
152,0.152,75,0.000375
153,0.153,75,0.000375
154,0.154,75,0.000375
155,0.155,75,0.000375
156,0.156,75,0.000375
157,0.157,74,0.00037
158,0.158,74,0.00037
159,0.159,74,0.00037
160,0.16,74,0.00037
161,0.161,74,0.00037
162,0.162,74,0.00037
163,0.163,74,0.00037
164,0.164,74,0.00037
165,0.165,74,0.00037
166,0.166,74,0.00037
167,0.167,74,0.00037
168,0.168,75,0.000375
169,0.169,75,0.000375
170,0.17,75,0.000375
171,0.171,75,0.000375
172,0.172,76,0.00038
173,0.173,75,0.000375
174,0.174,74,0.00037
175,0.175,73,0.000365
176,0.176,72,0.00036
177,0.177,71,0.000355
178,0.178,71,0.000355
179,0.179,71,0.000355
180,0.18,71,0.000355
181,0.181,71,0.000355
182,0.182,72,0.00036
183,0.183,72,0.00036
184,0.184,73,0.000365
185,0.185,73,0.000365
186,0.186,73,0.000365
187,0.187,73,0.000365
188,0.188,74,0.00037
189,0.189,75,0.000375
190,0.19,76,0.00038
191,0.191,77,0.000385
192,0.192,78,0.00039
193,0.193,79,0.000395
194,0.194,80,0.0004
195,0.195,81,0.000405
196,0.196,82,0.00041
197,0.197,82,0.00041
198,0.198,83,0.000415
199,0.199,84,0.00042
200,0.2,85,0.000425
201,0.201,87,0.000435
202,0.202,90,0.00045
203,0.203,92,0.00046
204,0.204,95,0.000475
205,0.205,95,0.000475
206,0.206,96,0.00048
207,0.207,97,0.000485
208,0.208,98,0.00049
209,0.209,98,0.00049
210,0.21,98,0.00049
211,0.211,98,0.00049
212,0.212,99,0.000495
213,0.213,100,0.0005
214,0.214,101,0.000505
215,0.215,102,0.00051
216,0.216,104,0.00052
217,0.217,105,0.000525
218,0.218,106,0.00053
219,0.219,107,0.000535
220,0.22,109,0.000545
221,0.221,111,0.000555
222,0.222,113,0.000565
223,0.223,115,0.000575
224,0.224,117,0.000585
225,0.225,118,0.00059
226,0.226,119,0.000595
227,0.227,120,0.0006
228,0.228,122,0.00061
229,0.229,123,0.000615
230,0.23,124,0.00062
231,0.231,125,0.000625
232,0.232,126,0.00063
233,0.233,126,0.00063
234,0.234,126,0.00063
235,0.235,126,0.00063
236,0.236,127,0.000635
237,0.237,127,0.000635
238,0.238,128,0.00064
239,0.239,128,0.00064
240,0.24,129,0.000645
241,0.241,127,0.000635
242,0.242,125,0.000625
243,0.243,123,0.000615
244,0.244,122,0.00061
245,0.245,120,0.0006
246,0.246,119,0.000595
247,0.247,117,0.000585
248,0.248,116,0.00058
249,0.249,115,0.000575
250,0.25,115,0.000575
251,0.251,115,0.000575
252,0.252,115,0.000575
253,0.253,115,0.000575
254,0.254,115,0.000575
255,0.255,115,0.000575
