sample_index,time_s,code_signed,voltage_V
0,0.0,72,0.00036
1,0.001,73,0.000365
2,0.002,74,0.00037
3,0.003,75,0.000375
4,0.004,76,0.00038
5,0.005,77,0.000385
6,0.006,78,0.00039
7,0.007,79,0.000395
8,0.008,80,0.0004
9,0.009,82,0.00041
10,0.01,83,0.000415
11,0.011,84,0.00042
12,0.012,86,0.00043
13,0.013,87,0.000435
14,0.014,88,0.00044
15,0.015,89,0.000445
16,0.016,90,0.00045
17,0.017,91,0.000455
18,0.018,92,0.00046
19,0.019,93,0.000465
20,0.02,94,0.00047
21,0.021,94,0.00047
22,0.022,95,0.000475
23,0.023,96,0.00048
24,0.024,97,0.000485
25,0.025,97,0.000485
26,0.026,98,0.00049
27,0.027,99,0.000495
28,0.028,100,0.0005
29,0.029,100,0.0005
30,0.03,101,0.000505
31,0.031,102,0.00051
32,0.032,103,0.000515
33,0.033,104,0.00052
34,0.034,105,0.000525
35,0.035,106,0.00053
36,0.036,107,0.000535
37,0.037,108,0.00054
38,0.038,109,0.000545
39,0.039,110,0.00055
40,0.04,110,0.00055
41,0.041,110,0.00055
42,0.042,109,0.000545
43,0.043,109,0.000545
44,0.044,109,0.000545
45,0.045,109,0.000545
46,0.046,108,0.00054
47,0.047,108,0.00054
48,0.048,108,0.00054
49,0.049,108,0.00054
50,0.05,107,0.000535
51,0.051,107,0.000535
52,0.052,107,0.000535
53,0.053,107,0.000535
54,0.054,106,0.00053
55,0.055,106,0.00053
56,0.056,105,0.000525
57,0.057,103,0.000515
58,0.058,102,0.00051
59,0.059,101,0.000505
60,0.06,99,0.000495
61,0.061,98,0.00049
62,0.062,97,0.000485
63,0.063,95,0.000475
64,0.064,94,0.00047
65,0.065,92,0.00046
66,0.066,91,0.000455
67,0.067,89,0.000445
68,0.068,88,0.00044
69,0.069,86,0.00043
70,0.07,85,0.000425
71,0.071,83,0.000415
72,0.072,82,0.00041
73,0.073,80,0.0004
74,0.074,79,0.000395
75,0.075,77,0.000385
76,0.076,75,0.000375
77,0.077,74,0.00037
78,0.078,72,0.00036
79,0.079,70,0.00035
80,0.08,68,0.00034
81,0.081,66,0.00033
82,0.082,63,0.000315
83,0.083,61,0.000305
84,0.084,59,0.000295
85,0.085,56,0.00028
86,0.086,54,0.00027
87,0.087,52,0.00026
88,0.088,50,0.00025
89,0.089,48,0.00024
90,0.09,46,0.00023
91,0.091,44,0.00022
92,0.092,42,0.00021
93,0.093,40,0.0002
94,0.094,38,0.00019
95,0.095,37,0.000185
96,0.096,36,0.00018
97,0.097,35,0.000175
98,0.098,34,0.00017
99,0.099,33,0.000165
100,0.1,32,0.00016
101,0.101,31,0.000155
102,0.102,29,0.000145
103,0.103,28,0.00014
104,0.104,26,0.00013
105,0.105,24,0.00012
106,0.106,22,0.00011
107,0.107,20,0.0001
108,0.108,19,9.5e-05
109,0.109,17,8.5e-05
110,0.11,16,8e-05
111,0.111,15,7.5e-05
112,0.112,15,7.5e-05
113,0.113,14,7e-05
114,0.114,14,7e-05
115,0.115,13,6.5e-05
116,0.116,13,6.5e-05
117,0.117,12,6e-05
118,0.118,12,6e-05
119,0.119,11,5.5e-05
120,0.12,10,5e-05
121,0.121,9,4.5e-05
122,0.122,8,4e-05
123,0.123,8,4e-05
124,0.124,7,3.5e-05
125,0.125,6,3e-05
126,0.126,6,3e-05
127,0.127,6,3e-05
128,0.128,6,3e-05
129,0.129,6,3e-05
130,0.13,6,3e-05
131,0.131,6,3e-05
132,0.132,6,3e-05
133,0.133,6,3e-05
134,0.134,6,3e-05
135,0.135,6,3e-05
136,0.136,5,2.5e-05
137,0.137,5,2.5e-05
138,0.138,5,2.5e-05
139,0.139,5,2.5e-05
140,0.14,4,2e-05
141,0.141,4,2e-05
142,0.142,4,2e-05
143,0.143,4,2e-05
144,0.144,3,1.5e-05
145,0.145,3,1.5e-05
146,0.146,3,1.5e-05
147,0.147,3,1.5e-05
148,0.148,2,1e-05
149,0.149,2,1e-05
150,0.15,1,5e-06
151,0.151,1,5e-06
152,0.152,0,0.0
153,0.153,0,0.0
154,0.154,-1,-5e-06
155,0.155,-1,-5e-06
156,0.156,-2,-1e-05
157,0.157,-1,-5e-06
158,0.158,-1,-5e-06
159,0.159,0,0.0
160,0.16,0,0.0
161,0.161,1,5e-06
162,0.162,1,5e-06
163,0.163,2,1e-05
164,0.164,2,1e-05
165,0.165,1,5e-06
166,0.166,1,5e-06
167,0.167,0,0.0
168,0.168,-1,-5e-06
169,0.169,-2,-1e-05
170,0.17,-2,-1e-05
171,0.171,-3,-1.5e-05
172,0.172,-4,-2e-05
173,0.173,-3,-1.5e-05
