time_s,voltage_V,code_signed_est
0.0,-0.000145,-29
0.002778,-0.000145,-29
0.005556,-0.000145,-29
0.008333,-0.000145,-29
0.011111,-0.000145,-29
0.013889,-0.000145,-29
0.016667,-0.000145,-29
0.019444,-0.000145,-29
0.022222,-0.00012,-24
0.025,-0.000135,-27
0.027778,-0.000145,-29
0.030556,-0.00015,-30
0.033333,-0.00016,-32
0.036111,-0.000155,-31
0.038889,-0.00016,-32
0.041667,-0.000175,-35
0.044444,-0.00018,-36
0.047222,-0.000185,-37
0.05,-0.00017,-34
0.052778,-0.000155,-31
0.055556,-0.000175,-35
0.058333,-0.00018,-36
0.061111,-0.00019,-38
0.063889,-0.00018,-36
0.066667,-0.000155,-31
0.069444,-0.000135,-27
0.072222,-0.000155,-31
0.075,-0.00019,-38
0.077778,-0.000205,-41
0.080556,-0.000235,-47
0.083333,-0.000225,-45
0.086111,-0.000245,-49
0.088889,-0.00025,-50
0.091667,-0.00026,-52
0.094444,-0.000275,-55
0.097222,-0.000275,-55
0.1,-0.000275,-55
0.102778,-0.000265,-53
0.105556,-0.000255,-51
0.108333,-0.000265,-53
0.111111,-0.000275,-55
0.113889,-0.00029,-58
0.116667,-0.00029,-58
0.119444,-0.00029,-58
0.122222,-0.00029,-58
0.125,-0.000285,-57
0.127778,-0.000295,-59
0.130556,-0.000305,-61
0.133333,-0.000285,-57
0.136111,-0.000275,-55
0.138889,-0.000275,-55
0.141667,-0.00028,-56
0.144444,-0.000285,-57
0.147222,-0.000305,-61
0.15,-0.00029,-58
0.152778,-0.0003,-60
0.155556,-0.00028,-56
0.158333,-0.00029,-58
0.161111,-0.0003,-60
0.163889,-0.000315,-63
0.166667,-0.00032,-64
0.169444,-0.000335,-67
0.172222,-0.00036,-72
0.175,-0.000385,-77
0.177778,-0.000385,-77
0.180556,-0.000405,-81
0.183333,-0.000455,-91
0.186111,-0.000485,-97
0.188889,-0.000485,-97
0.191667,-0.000425,-85
0.194444,-0.00033,-66
0.197222,-0.00022,-44
0.2,-7e-05,-14
0.202778,0.00012,24
0.205556,0.000375,75
0.208333,0.00062,124
0.211111,0.00078,156
0.213889,0.00084,168
0.216667,0.000765,153
0.219444,0.00052,104
0.222222,0.00017,34
0.225,-0.000165,-33
0.227778,-0.000365,-73
0.230556,-0.000435,-87
0.233333,-0.000425,-85
0.236111,-0.00037,-74
0.238889,-0.00033,-66
0.241667,-0.000325,-65
0.244444,-0.000335,-67
0.247222,-0.000345,-69
0.25,-0.00033,-66
0.252778,-0.000325,-65
0.255556,-0.000315,-63
0.258333,-0.00031,-62
0.261111,-0.00032,-64
0.263889,-0.000335,-67
0.266667,-0.00034,-68
0.269444,-0.000325,-65
0.272222,-0.000345,-69
0.275,-0.000335,-67
0.277778,-0.00033,-66
0.280556,-0.000335,-67
0.283333,-0.00033,-66
0.286111,-0.000325,-65
0.288889,-0.00033,-66
0.291667,-0.00033,-66
0.294444,-0.000345,-69
0.297222,-0.000355,-71
0.3,-0.000335,-67
0.302778,-0.000325,-65
0.305556,-0.000305,-61
0.308333,-0.00032,-64
0.311111,-0.00032,-64
0.313889,-0.00033,-66
0.316667,-0.00034,-68
0.319444,-0.000335,-67
0.322222,-0.00034,-68
0.325,-0.000345,-69
0.327778,-0.000355,-71
0.330556,-0.000355,-71
0.333333,-0.00034,-68
0.336111,-0.00033,-66
0.338889,-0.00033,-66
0.341667,-0.00033,-66
0.344444,-0.00034,-68
0.347222,-0.00035,-70
0.35,-0.000325,-65
0.352778,-0.000325,-65
0.355556,-0.00033,-66
0.358333,-0.00033,-66
0.361111,-0.000335,-67
0.363889,-0.000335,-67
0.366667,-0.00034,-68
0.369444,-0.00033,-66
0.372222,-0.00034,-68
0.375,-0.00035,-70
0.377778,-0.000355,-71
0.380556,-0.00035,-70
0.383333,-0.000345,-69
0.386111,-0.00033,-66
0.388889,-0.00032,-64
0.391667,-0.000335,-67
0.394444,-0.00033,-66
0.397222,-0.000345,-69
0.4,-0.00033,-66
0.402778,-0.000335,-67
0.405556,-0.000335,-67
0.408333,-0.000345,-69
0.411111,-0.000345,-69
0.413889,-0.000355,-71
0.416667,-0.00034,-68
0.419444,-0.00034,-68
0.422222,-0.000335,-67
0.425,-0.00033,-66
0.427778,-0.00035,-70
0.430556,-0.00035,-70
0.433333,-0.000345,-69
0.436111,-0.000335,-67
0.438889,-0.000335,-67
0.441667,-0.000335,-67
0.444444,-0.00035,-70
0.447222,-0.000355,-71
0.45,-0.000355,-71
0.452778,-0.000345,-69
0.455556,-0.000345,-69
0.458333,-0.000335,-67
0.461111,-0.00035,-70
0.463889,-0.00036,-72
0.466667,-0.00036,-72
0.469444,-0.00036,-72
0.472222,-0.000365,-73
0.475,-0.00036,-72
0.477778,-0.00037,-74
0.480556,-0.000385,-77
0.483333,-0.00037,-74
0.486111,-0.00036,-72
0.488889,-0.000355,-71
0.491667,-0.00036,-72
0.494444,-0.000375,-75
0.497222,-0.000375,-75
0.5,-0.000365,-73
0.502778,-0.000365,-73
0.505556,-0.00036,-72
0.508333,-0.00036,-72
0.511111,-0.000365,-73
0.513889,-0.00037,-74
0.516667,-0.000355,-71
0.519444,-0.00033,-66
0.522222,-0.000325,-65
0.525,-0.000325,-65
0.527778,-0.000335,-67
0.530556,-0.00034,-68
0.533333,-0.000315,-63
0.536111,-0.0003,-60
0.538889,-0.0003,-60
0.541667,-0.00029,-58
0.544444,-0.000295,-59
0.547222,-0.00029,-58
0.55,-0.000285,-57
0.552778,-0.000275,-55
0.555556,-0.000255,-51
0.558333,-0.00025,-50
0.561111,-0.00025,-50
0.563889,-0.000265,-53
0.566667,-0.000255,-51
0.569444,-0.000245,-49
0.572222,-0.00023,-46
0.575,-0.000245,-49
0.577778,-0.000245,-49
0.580556,-0.000255,-51
0.583333,-0.000255,-51
0.586111,-0.00024,-48
0.588889,-0.00025,-50
0.591667,-0.000255,-51
0.594444,-0.000245,-49
0.597222,-0.000255,-51
0.6,-0.00025,-50
0.602778,-0.00025,-50
0.605556,-0.000265,-53
0.608333,-0.00026,-52
0.611111,-0.00026,-52
0.613889,-0.000265,-53
0.616667,-0.00027,-54
0.619444,-0.000265,-53
0.622222,-0.00026,-52
0.625,-0.000275,-55
0.627778,-0.00028,-56
0.630556,-0.00029,-58
0.633333,-0.000275,-55
0.636111,-0.00027,-54
0.638889,-0.00026,-52
0.641667,-0.00028,-56
0.644444,-0.00028,-56
0.647222,-0.000285,-57
0.65,-0.000275,-55
0.652778,-0.000275,-55
0.655556,-0.000265,-53
0.658333,-0.00027,-54
0.661111,-0.000285,-57
0.663889,-0.00029,-58
0.666667,-0.00028,-56
0.669444,-0.000275,-55
0.672222,-0.000285,-57
0.675,-0.00028,-56
0.677778,-0.0003,-60
0.680556,-0.0003,-60
0.683333,-0.000305,-61
0.686111,-0.000295,-59
0.688889,-0.0003,-60
0.691667,-0.00031,-62
0.694444,-0.00031,-62
0.697222,-0.000305,-61
0.7,-0.000295,-59
