time_s,v_diff,v_hpf,v_ia,v_notch,v_lpf,v_adc_in,adc_code,adc_signed
0,-0.000145,-0.000144780635400908,-0.0291009077155824,-0.0282983096219613,-0.0090699710326799,-0.0090699710326799,2036,-12
0.001,-0.000145,-0.000144342569938273,-0.0290128565575928,-0.0262288764798176,-0.0207325492494809,-0.0207325492494809,2021,-27
0.002,-0.000145,-0.000143905829938459,-0.0289250718176303,-0.0246930108321169,-0.0237635713049208,-0.0237635713049208,2018,-30
0.003,-0.000145,-0.000143470411390991,-0.0288375526895891,-0.0238490096833065,-0.024088852684915,-0.024088852684915,2017,-31
0.004,-0.000145,-0.000143036310297523,-0.0287502983698021,-0.0237490056060856,-0.0239030545822105,-0.0239030545822105,2017,-31
0.005,-0.000145,-0.000142603522671812,-0.0286633080570342,-0.0243397004287572,-0.0239936305022175,-0.0239936305022175,2017,-31
0.006,-0.000145,-0.000142172044539673,-0.0285765809524744,-0.0254774436951199,-0.0245801315020387,-0.0245801315020387,2016,-32
0.007,-0.000145,-0.000141741871938948,-0.0284901162597286,-0.0269545353952627,-0.0256287584527775,-0.0256287584527775,2015,-33
0.008,-0.000145,-0.000141313000919466,-0.0284039131848126,-0.0285323303727559,-0.0269843189856184,-0.0269843189856184,2014,-34
0.009,-0.000145,-0.000140885427543007,-0.0283179709361445,-0.0299761200550986,-0.0284393870806882,-0.0284393870806882,2012,-36
0.01,-0.000145,-0.000140459147883271,-0.0282322887245374,-0.0310868961055634,-0.0297804902855874,-0.0297804902855874,2010,-38
0.011,-0.000145,-0.000140034158025833,-0.0281468657631924,-0.0317258885887016,-0.0308227351968343,-0.0308227351968343,2009,-39
0.012,-0.000145,-0.000139610454068115,-0.028061701267691,-0.0318290619056049,-0.0314347480496029,-0.0314347480496029,2008,-40
0.013,-0.000145,-0.000139188032119346,-0.0279767944559885,-0.0314103316320469,-0.0315533049208997,-0.0315533049208997,2008,-40
0.014,-0.000145,-0.000138766888300528,-0.0278921445484061,-0.0305538973183607,-0.0311871571992998,-0.0311871571992998,2008,-40
0.015,-0.000145,-0.000138347018744399,-0.0278077507676242,-0.0293975435560902,-0.0304105951723291,-0.0304105951723291,2009,-39
0.016,-0.000145,-0.000137928419595399,-0.0277236123386753,-0.0281098580841063,-0.0293484834080786,-0.0293484834080786,2011,-37
0.017,-0.000145,-0.000137511087009634,-0.0276397284889365,-0.0268649283368725,-0.0281554768711625,-0.0281554768711625,2012,-36
0.018,-0.000145,-0.00013709501715484,-0.0275560984481227,-0.0258181587536933,-0.0269926990981627,-0.0269926990981627,2014,-34
0.019,-0.000145,-0.000136680206210347,-0.0274727214482797,-0.0250864286536813,-0.0260052597427298,-0.0260052597427298,2015,-33
0.02,-0.000139996400287977,-0.000131270620397403,-0.026385394699878,-0.0237584731807414,-0.0249906387007308,-0.0249906387007308,2016,-32
0.021,-0.000130997120230382,-0.00012188776702553,-0.0244994411721316,-0.0221109230089144,-0.0236727280559212,-0.0236727280559212,2018,-30
0.022,-0.000121997840172786,-0.000112533303527703,-0.0226191940090683,-0.0209170109817146,-0.0222889068632246,-0.0222889068632246,2019,-29
0.023,-0.000124200863930886,-0.00011439250031029,-0.0229928925623683,-0.0222356763944348,-0.0218321355971029,-0.0218321355971029,2020,-28
0.024,-0.000129600431965443,-0.000119437780041284,-0.0240069937882982,-0.0241829470504652,-0.0227149408056587,-0.0227149408056587,2019,-29
0.025,-0.000135,-0.000124467794175513,-0.0250180266292781,-0.0259591501475869,-0.0242252663142275,-0.0242252663142275,2017,-31
0.026,-0.000138599712023038,-0.000127685455819771,-0.0256647766197739,-0.027121186521209,-0.0257091778656188,-0.0257091778656188,2015,-33
0.027,-0.000142199424046076,-0.000130893381725316,-0.0263095697267885,-0.0279964489850766,-0.0268948444601855,-0.0268948444601855,2014,-34
0.028,-0.000145399568034557,-0.000133692637805417,-0.0268722201988888,-0.0284967019588585,-0.0277613386985073,-0.0277613386985073,2013,-35
0.029,-0.000147199424046076,-0.00013508525458604,-0.0271521361717941,-0.0284631497912978,-0.0282219715040015,-0.0282219715040015,2012,-36
0.03,-0.000148999280057595,-0.000136473657700156,-0.0274312051977313,-0.0282522063753855,-0.0283089629010144,-0.0283089629010144,2012,-36
0.031,-0.00015159884767735,-0.000138656361654222,-0.0278699286924986,-0.0280999921231319,-0.0282237938934787,-0.0282237938934787,2012,-36
0.032,-0.000155199855959669,-0.000141832386984059,-0.0285083097837958,-0.0281217687253926,-0.0281514134644938,-0.0281514134644938,2012,-36
